sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780459228415934779,2026/06/03 04:00:28.437,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:00:28.437, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780459228549936203,2026/06/03 04:00:28.575,87.54,87.54,,87.54,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:00:28.575, 87.54, [N/A], 87.54, 400.00, 1410, 1593, 36, P0, 0"
1780459228684931690,2026/06/03 04:00:28.705,89.69,89.69,,89.69,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:00:28.705, 89.69, [N/A], 89.69, 400.00, 1410, 1593, 36, P0, 0"
1780459228817912028,2026/06/03 04:00:28.838,137.79,137.79,,137.79,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 04:00:28.838, 137.79, [N/A], 137.79, 400.00, 1410, 1593, 37, P0, 0"
1780459228947959449,2026/06/03 04:00:28.967,144.44,144.44,,144.44,400.0,1410.0,1593.0,38.0,P0,48.0,average_instant,"2026/06/03 04:00:28.967, 144.44, [N/A], 144.44, 400.00, 1410, 1593, 38, P0, 48"
1780459229077611007,2026/06/03 04:00:29.097,144.72,144.72,,144.72,400.0,1410.0,1593.0,38.0,P0,48.0,average_instant,"2026/06/03 04:00:29.097, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 38, P0, 48"
1780459229205677425,2026/06/03 04:00:29.225,141.02,141.02,,141.02,400.0,1410.0,1593.0,38.0,P0,48.0,average_instant,"2026/06/03 04:00:29.225, 141.02, [N/A], 141.02, 400.00, 1410, 1593, 38, P0, 48"
1780459229334275377,2026/06/03 04:00:29.353,115.85,115.85,,115.85,400.0,1410.0,1593.0,38.0,P0,48.0,average_instant,"2026/06/03 04:00:29.353, 115.85, [N/A], 115.85, 400.00, 1410, 1593, 38, P0, 48"
1780459229462832015,2026/06/03 04:00:29.482,143.65,143.65,,143.65,400.0,1410.0,1593.0,38.0,P0,48.0,average_instant,"2026/06/03 04:00:29.482, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 38, P0, 48"
1780459229591015913,2026/06/03 04:00:29.610,144.72,144.72,,144.72,400.0,1410.0,1593.0,38.0,P0,48.0,average_instant,"2026/06/03 04:00:29.610, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 38, P0, 48"
1780459229722249249,2026/06/03 04:00:29.742,144.12,144.12,,144.12,400.0,1410.0,1593.0,38.0,P0,48.0,average_instant,"2026/06/03 04:00:29.742, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 38, P0, 48"
1780459229850741194,2026/06/03 04:00:29.870,107.96,107.96,,107.96,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 04:00:29.870, 107.96, [N/A], 107.96, 400.00, 1410, 1593, 37, P0, 100"
1780459229979791664,2026/06/03 04:00:29.999,143.32,143.32,,143.32,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:29.999, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 38, P0, 100"
1780459230108670464,2026/06/03 04:00:30.128,143.92,143.92,,143.92,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:30.128, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 38, P0, 100"
1780459230237990754,2026/06/03 04:00:30.257,145.05,145.05,,145.05,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:30.257, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 38, P0, 100"
1780459230368311251,2026/06/03 04:00:30.387,131.05,131.05,,131.05,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:30.387, 131.05, [N/A], 131.05, 400.00, 1410, 1593, 38, P0, 100"
1780459230497303666,2026/06/03 04:00:30.516,137.65,137.65,,137.65,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:30.516, 137.65, [N/A], 137.65, 400.00, 1410, 1593, 38, P0, 100"
1780459230626158674,2026/06/03 04:00:30.645,143.5,143.5,,143.5,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:30.645, 143.50, [N/A], 143.50, 400.00, 1410, 1593, 38, P0, 100"
1780459230754486529,2026/06/03 04:00:30.773,145.32,145.32,,145.32,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:30.773, 145.32, [N/A], 145.32, 400.00, 1410, 1593, 38, P0, 100"
1780459230882786174,2026/06/03 04:00:30.901,142.9,142.9,,142.9,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:30.901, 142.90, [N/A], 142.90, 400.00, 1410, 1593, 38, P0, 100"
