sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780459283071520290,2026/06/03 04:01:23.094,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:01:23.094, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780459283203531054,2026/06/03 04:01:23.226,85.2,85.2,,85.2,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:01:23.226, 85.20, [N/A], 85.20, 400.00, 1410, 1593, 36, P0, 0"
1780459283345763297,2026/06/03 04:01:23.365,86.13,86.13,,86.13,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:01:23.365, 86.13, [N/A], 86.13, 400.00, 1410, 1593, 36, P0, 0"
1780459283476492383,2026/06/03 04:01:23.496,142.71,142.71,,142.71,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 04:01:23.496, 142.71, [N/A], 142.71, 400.00, 1410, 1593, 37, P0, 0"
1780459283606646912,2026/06/03 04:01:23.626,143.5,143.5,,143.5,400.0,1410.0,1593.0,38.0,P0,67.0,average_instant,"2026/06/03 04:01:23.626, 143.50, [N/A], 143.50, 400.00, 1410, 1593, 38, P0, 67"
1780459283735549396,2026/06/03 04:01:23.755,145.05,145.05,,145.05,400.0,1410.0,1593.0,38.0,P0,67.0,average_instant,"2026/06/03 04:01:23.755, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 38, P0, 67"
1780459283864108536,2026/06/03 04:01:23.883,131.33,131.33,,131.33,400.0,1410.0,1593.0,38.0,P0,67.0,average_instant,"2026/06/03 04:01:23.883, 131.33, [N/A], 131.33, 400.00, 1410, 1593, 38, P0, 67"
1780459283992697142,2026/06/03 04:01:24.012,126.62,126.62,,126.62,400.0,1410.0,1593.0,38.0,P0,67.0,average_instant,"2026/06/03 04:01:24.012, 126.62, [N/A], 126.62, 400.00, 1410, 1593, 38, P0, 67"
1780459284122299092,2026/06/03 04:01:24.141,143.65,143.65,,143.65,400.0,1410.0,1593.0,39.0,P0,67.0,average_instant,"2026/06/03 04:01:24.141, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 39, P0, 67"
1780459284251147686,2026/06/03 04:01:24.270,145.32,145.32,,145.32,400.0,1410.0,1593.0,39.0,P0,67.0,average_instant,"2026/06/03 04:01:24.270, 145.32, [N/A], 145.32, 400.00, 1410, 1593, 39, P0, 67"
1780459284380802821,2026/06/03 04:01:24.400,143.65,143.65,,143.65,400.0,1410.0,1593.0,39.0,P0,67.0,average_instant,"2026/06/03 04:01:24.400, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 39, P0, 67"
1780459284509635666,2026/06/03 04:01:24.529,122.1,122.1,,122.1,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:01:24.529, 122.10, [N/A], 122.10, 400.00, 1410, 1593, 38, P0, 100"
1780459284637715985,2026/06/03 04:01:24.657,141.5,141.5,,141.5,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:01:24.657, 141.50, [N/A], 141.50, 400.00, 1410, 1593, 39, P0, 100"
1780459284765944625,2026/06/03 04:01:24.785,145.05,145.05,,145.05,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:01:24.785, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 39, P0, 100"
