sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464878858462895,2026/06/03 05:34:38.879,85.47,85.47,,85.47,400.0,1410.0,1593.0,38.0,P0,21.0,average_instant,"2026/06/03 05:34:38.879, 85.47, [N/A], 85.47, 400.00, 1410, 1593, 38, P0, 21"
1780464878991911134,2026/06/03 05:34:39.018,88.57,88.57,,88.57,400.0,1410.0,1593.0,37.0,P0,21.0,average_instant,"2026/06/03 05:34:39.018, 88.57, [N/A], 88.57, 400.00, 1410, 1593, 37, P0, 21"
1780464879128036610,2026/06/03 05:34:39.148,90.11,90.11,,90.11,400.0,1410.0,1593.0,37.0,P0,21.0,average_instant,"2026/06/03 05:34:39.148, 90.11, [N/A], 90.11, 400.00, 1410, 1593, 37, P0, 21"
1780464879259299545,2026/06/03 05:34:39.278,140.28,140.28,,140.28,400.0,1410.0,1593.0,38.0,P0,21.0,average_instant,"2026/06/03 05:34:39.278, 140.28, [N/A], 140.28, 400.00, 1410, 1593, 38, P0, 21"
1780464879387172784,2026/06/03 05:34:39.407,140.89,140.89,,140.89,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:39.407, 140.89, [N/A], 140.89, 400.00, 1410, 1593, 39, P0, 100"
1780464879516621407,2026/06/03 05:34:39.535,140.74,140.74,,140.74,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:39.535, 140.74, [N/A], 140.74, 400.00, 1410, 1593, 39, P0, 100"
1780464879644712833,2026/06/03 05:34:39.664,141.02,141.02,,141.02,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:39.664, 141.02, [N/A], 141.02, 400.00, 1410, 1593, 39, P0, 100"
1780464879772890869,2026/06/03 05:34:39.792,138.12,138.12,,138.12,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:39.792, 138.12, [N/A], 138.12, 400.00, 1410, 1593, 39, P0, 100"
1780464879902541825,2026/06/03 05:34:39.922,140.41,140.41,,140.41,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:39.922, 140.41, [N/A], 140.41, 400.00, 1410, 1593, 39, P0, 100"
1780464880031756791,2026/06/03 05:34:40.051,140.74,140.74,,140.74,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:40.051, 140.74, [N/A], 140.74, 400.00, 1410, 1593, 39, P0, 100"
1780464880161150132,2026/06/03 05:34:40.181,141.16,141.16,,141.16,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:40.181, 141.16, [N/A], 141.16, 400.00, 1410, 1593, 39, P0, 100"
1780464880290828527,2026/06/03 05:34:40.310,125.47,125.47,,125.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:40.310, 125.47, [N/A], 125.47, 400.00, 1410, 1593, 39, P0, 100"
1780464880419069630,2026/06/03 05:34:40.438,140.14,140.14,,140.14,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:40.438, 140.14, [N/A], 140.14, 400.00, 1410, 1593, 39, P0, 100"
1780464880548712326,2026/06/03 05:34:40.568,140.74,140.74,,140.74,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:40.568, 140.74, [N/A], 140.74, 400.00, 1410, 1593, 39, P0, 100"
1780464880677118165,2026/06/03 05:34:40.696,141.16,141.16,,141.16,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:40.696, 141.16, [N/A], 141.16, 400.00, 1410, 1593, 39, P0, 100"
1780464880806141358,2026/06/03 05:34:40.825,141.5,141.5,,141.5,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:40.825, 141.50, [N/A], 141.50, 400.00, 1410, 1593, 39, P0, 100"
1780464880935674155,2026/06/03 05:34:40.955,118.4,118.4,,118.4,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:40.955, 118.40, [N/A], 118.40, 400.00, 1410, 1593, 39, P0, 100"
1780464881064108689,2026/06/03 05:34:41.083,140.56,140.56,,140.56,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:41.083, 140.56, [N/A], 140.56, 400.00, 1410, 1593, 39, P0, 100"
1780464881197052400,2026/06/03 05:34:41.217,140.89,140.89,,140.89,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:41.217, 140.89, [N/A], 140.89, 400.00, 1410, 1593, 39, P0, 100"
1780464881326692952,2026/06/03 05:34:41.346,140.74,140.74,,140.74,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:41.346, 140.74, [N/A], 140.74, 400.00, 1410, 1593, 39, P0, 100"
1780464881455521069,2026/06/03 05:34:41.474,141.16,141.16,,141.16,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:41.474, 141.16, [N/A], 141.16, 400.00, 1410, 1593, 39, P0, 100"
1780464881584040486,2026/06/03 05:34:41.603,140.89,140.89,,140.89,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:41.603, 140.89, [N/A], 140.89, 400.00, 1410, 1593, 39, P0, 100"
1780464881713410195,2026/06/03 05:34:41.732,141.16,141.16,,141.16,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:41.732, 141.16, [N/A], 141.16, 400.00, 1410, 1593, 39, P0, 100"
1780464881841746413,2026/06/03 05:34:41.861,141.02,141.02,,141.02,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:41.861, 141.02, [N/A], 141.02, 400.00, 1410, 1593, 39, P0, 100"
1780464881970231221,2026/06/03 05:34:41.989,141.35,141.35,,141.35,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:41.989, 141.35, [N/A], 141.35, 400.00, 1410, 1593, 39, P0, 100"
1780464882100318072,2026/06/03 05:34:42.120,138.4,138.4,,138.4,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:42.120, 138.40, [N/A], 138.40, 400.00, 1410, 1593, 39, P0, 100"
1780464882229664486,2026/06/03 05:34:42.249,140.41,140.41,,140.41,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:42.249, 140.41, [N/A], 140.41, 400.00, 1410, 1593, 39, P0, 100"
1780464882358915994,2026/06/03 05:34:42.378,140.89,140.89,,140.89,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:42.378, 140.89, [N/A], 140.89, 400.00, 1410, 1593, 39, P0, 100"
1780464882487584350,2026/06/03 05:34:42.507,141.5,141.5,,141.5,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:42.507, 141.50, [N/A], 141.50, 400.00, 1410, 1593, 39, P0, 100"
1780464882616504758,2026/06/03 05:34:42.638,125.07,125.07,,125.07,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:42.638, 125.07, [N/A], 125.07, 400.00, 1410, 1593, 39, P0, 100"
1780464882747952559,2026/06/03 05:34:42.767,139.95,139.95,,139.95,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:34:42.767, 139.95, [N/A], 139.95, 400.00, 1410, 1593, 39, P0, 100"
