sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780458907667967072,2026/06/03 03:55:07.688,84.87,84.87,,84.87,400.0,1410.0,1593.0,38.0,P0,44.0,average_instant,"2026/06/03 03:55:07.688, 84.87, [N/A], 84.87, 400.00, 1410, 1593, 38, P0, 44"
1780458907802310314,2026/06/03 03:55:07.827,86.13,86.13,,86.13,400.0,1410.0,1593.0,37.0,P0,44.0,average_instant,"2026/06/03 03:55:07.827, 86.13, [N/A], 86.13, 400.00, 1410, 1593, 37, P0, 44"
1780458907937660177,2026/06/03 03:55:07.958,88.57,88.57,,88.57,400.0,1410.0,1593.0,37.0,P0,44.0,average_instant,"2026/06/03 03:55:07.958, 88.57, [N/A], 88.57, 400.00, 1410, 1593, 37, P0, 44"
1780458908067701574,2026/06/03 03:55:08.087,143.78,143.78,,143.78,400.0,1410.0,1593.0,38.0,P0,44.0,average_instant,"2026/06/03 03:55:08.087, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 38, P0, 44"
1780458908196481915,2026/06/03 03:55:08.217,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 03:55:08.217, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780458908326730090,2026/06/03 03:55:08.346,144.87,144.87,,144.87,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 03:55:08.346, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 39, P0, 100"
1780458908455256537,2026/06/03 03:55:08.475,142.56,142.56,,142.56,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 03:55:08.475, 142.56, [N/A], 142.56, 400.00, 1410, 1593, 39, P0, 100"
1780458908584726388,2026/06/03 03:55:08.604,142.29,142.29,,142.29,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 03:55:08.604, 142.29, [N/A], 142.29, 400.00, 1410, 1593, 39, P0, 100"
1780458908713998265,2026/06/03 03:55:08.733,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 03:55:08.733, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780458908843508728,2026/06/03 03:55:08.863,144.87,144.87,,144.87,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 03:55:08.863, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 39, P0, 100"
