sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780459255755606822,2026/06/03 04:00:55.779,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:00:55.779, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780459255889030261,2026/06/03 04:00:55.915,89.18,89.18,,89.18,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:00:55.915, 89.18, [N/A], 89.18, 400.00, 1410, 1593, 36, P0, 0"
1780459256025259115,2026/06/03 04:00:56.045,89.51,89.51,,89.51,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:00:56.045, 89.51, [N/A], 89.51, 400.00, 1410, 1593, 36, P0, 0"
1780459256156414668,2026/06/03 04:00:56.176,141.35,141.35,,141.35,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 04:00:56.176, 141.35, [N/A], 141.35, 400.00, 1410, 1593, 37, P0, 0"
1780459256285433242,2026/06/03 04:00:56.305,143.65,143.65,,143.65,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 04:00:56.305, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 38, P0, 53"
1780459256413983295,2026/06/03 04:00:56.433,141.96,141.96,,141.96,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 04:00:56.433, 141.96, [N/A], 141.96, 400.00, 1410, 1593, 38, P0, 53"
1780459256543392185,2026/06/03 04:00:56.562,142.1,142.1,,142.1,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 04:00:56.562, 142.10, [N/A], 142.10, 400.00, 1410, 1593, 38, P0, 53"
1780459256671525483,2026/06/03 04:00:56.691,123.65,123.65,,123.65,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 04:00:56.691, 123.65, [N/A], 123.65, 400.00, 1410, 1593, 38, P0, 53"
1780459256803008594,2026/06/03 04:00:56.822,144.12,144.12,,144.12,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 04:00:56.822, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 38, P0, 53"
1780459256931240684,2026/06/03 04:00:56.951,145.32,145.32,,145.32,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 04:00:56.951, 145.32, [N/A], 145.32, 400.00, 1410, 1593, 38, P0, 53"
1780459257060736443,2026/06/03 04:00:57.079,142.1,142.1,,142.1,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 04:00:57.079, 142.10, [N/A], 142.10, 400.00, 1410, 1593, 38, P0, 53"
1780459257188392683,2026/06/03 04:00:57.207,127.62,127.62,,127.62,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:57.207, 127.62, [N/A], 127.62, 400.00, 1410, 1593, 38, P0, 100"
1780459257316190440,2026/06/03 04:00:57.335,144.12,144.12,,144.12,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:57.335, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 38, P0, 100"
1780459257445294388,2026/06/03 04:00:57.464,144.87,144.87,,144.87,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:00:57.464, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 39, P0, 100"
1780459257573747264,2026/06/03 04:00:57.593,142.43,142.43,,142.43,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:00:57.593, 142.43, [N/A], 142.43, 400.00, 1410, 1593, 39, P0, 100"
1780459257705310764,2026/06/03 04:00:57.725,124.26,124.26,,124.26,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:57.725, 124.26, [N/A], 124.26, 400.00, 1410, 1593, 38, P0, 100"
