sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780459310418482985,2026/06/03 04:01:50.439,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:01:50.439, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780459310552447169,2026/06/03 04:01:50.577,85.2,85.2,,85.2,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:01:50.577, 85.20, [N/A], 85.20, 400.00, 1410, 1593, 36, P0, 0"
1780459310688393579,2026/06/03 04:01:50.708,85.47,85.47,,85.47,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:01:50.708, 85.47, [N/A], 85.47, 400.00, 1410, 1593, 36, P0, 0"
1780459310818036503,2026/06/03 04:01:50.838,143.32,143.32,,143.32,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 04:01:50.838, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 38, P0, 0"
1780459310947337458,2026/06/03 04:01:50.966,144.12,144.12,,144.12,400.0,1410.0,1593.0,38.0,P0,69.0,average_instant,"2026/06/03 04:01:50.966, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 38, P0, 69"
1780459311076634696,2026/06/03 04:01:51.095,145.32,145.32,,145.32,400.0,1410.0,1593.0,38.0,P0,69.0,average_instant,"2026/06/03 04:01:51.095, 145.32, [N/A], 145.32, 400.00, 1410, 1593, 38, P0, 69"
1780459311204430550,2026/06/03 04:01:51.224,127.02,127.02,,127.02,400.0,1410.0,1593.0,38.0,P0,69.0,average_instant,"2026/06/03 04:01:51.224, 127.02, [N/A], 127.02, 400.00, 1410, 1593, 38, P0, 69"
1780459311332797481,2026/06/03 04:01:51.352,139.2,139.2,,139.2,400.0,1410.0,1593.0,38.0,P0,69.0,average_instant,"2026/06/03 04:01:51.352, 139.20, [N/A], 139.20, 400.00, 1410, 1593, 38, P0, 69"
1780459311460919037,2026/06/03 04:01:51.479,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,69.0,average_instant,"2026/06/03 04:01:51.479, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 69"
1780459311588689404,2026/06/03 04:01:51.607,144.72,144.72,,144.72,400.0,1410.0,1593.0,39.0,P0,69.0,average_instant,"2026/06/03 04:01:51.607, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 39, P0, 69"
