sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780465673915625221,2026/06/03 05:47:53.936,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:47:53.936, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780465674050741301,2026/06/03 05:47:54.076,88.57,88.57,,88.57,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:47:54.076, 88.57, [N/A], 88.57, 400.00, 1410, 1593, 36, P0, 0"
1780465674188317858,2026/06/03 05:47:54.208,89.78,89.78,,89.78,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:47:54.208, 89.78, [N/A], 89.78, 400.00, 1410, 1593, 36, P0, 0"
1780465674318536145,2026/06/03 05:47:54.338,127.96,127.96,,127.96,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:47:54.338, 127.96, [N/A], 127.96, 400.00, 1410, 1593, 37, P0, 0"
1780465674447331088,2026/06/03 05:47:54.467,130.39,130.39,,130.39,400.0,1410.0,1593.0,37.0,P0,71.0,average_instant,"2026/06/03 05:47:54.467, 130.39, [N/A], 130.39, 400.00, 1410, 1593, 37, P0, 71"
1780465674577001192,2026/06/03 05:47:54.596,115.03,115.03,,115.03,400.0,1410.0,1593.0,37.0,P0,71.0,average_instant,"2026/06/03 05:47:54.596, 115.03, [N/A], 115.03, 400.00, 1410, 1593, 37, P0, 71"
1780465674705548413,2026/06/03 05:47:54.725,130.11,130.11,,130.11,400.0,1410.0,1593.0,37.0,P0,71.0,average_instant,"2026/06/03 05:47:54.725, 130.11, [N/A], 130.11, 400.00, 1410, 1593, 37, P0, 71"
1780465674834862674,2026/06/03 05:47:54.854,131.33,131.33,,131.33,400.0,1410.0,1593.0,37.0,P0,71.0,average_instant,"2026/06/03 05:47:54.854, 131.33, [N/A], 131.33, 400.00, 1410, 1593, 37, P0, 71"
1780465674964567453,2026/06/03 05:47:54.984,119.67,119.67,,119.67,400.0,1410.0,1593.0,37.0,P0,71.0,average_instant,"2026/06/03 05:47:54.984, 119.67, [N/A], 119.67, 400.00, 1410, 1593, 37, P0, 71"
1780465675094020721,2026/06/03 05:47:55.113,130.39,130.39,,130.39,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 05:47:55.113, 130.39, [N/A], 130.39, 400.00, 1410, 1593, 37, P0, 99"
1780465675221805971,2026/06/03 05:47:55.241,130.39,130.39,,130.39,400.0,1410.0,1593.0,38.0,P0,99.0,average_instant,"2026/06/03 05:47:55.241, 130.39, [N/A], 130.39, 400.00, 1410, 1593, 38, P0, 99"
1780465675350165374,2026/06/03 05:47:55.369,124.86,124.86,,124.86,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 05:47:55.369, 124.86, [N/A], 124.86, 400.00, 1410, 1593, 37, P0, 99"
1780465675479328669,2026/06/03 05:47:55.498,130.72,130.72,,130.72,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 05:47:55.498, 130.72, [N/A], 130.72, 400.00, 1410, 1593, 37, P0, 99"
1780465675607887644,2026/06/03 05:47:55.627,130.39,130.39,,130.39,400.0,1410.0,1593.0,38.0,P0,99.0,average_instant,"2026/06/03 05:47:55.627, 130.39, [N/A], 130.39, 400.00, 1410, 1593, 38, P0, 99"
1780465675737108298,2026/06/03 05:47:55.756,109.17,109.17,,109.17,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 05:47:55.756, 109.17, [N/A], 109.17, 400.00, 1410, 1593, 37, P0, 99"
1780465675865917350,2026/06/03 05:47:55.885,131.33,131.33,,131.33,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:47:55.885, 131.33, [N/A], 131.33, 400.00, 1410, 1593, 38, P0, 100"
1780465675994763050,2026/06/03 05:47:56.013,128.9,128.9,,128.9,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:56.013, 128.90, [N/A], 128.90, 400.00, 1410, 1593, 37, P0, 100"
1780465676122456248,2026/06/03 05:47:56.141,126.75,126.75,,126.75,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:56.141, 126.75, [N/A], 126.75, 400.00, 1410, 1593, 37, P0, 100"
1780465676250625498,2026/06/03 05:47:56.269,130.72,130.72,,130.72,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:56.269, 130.72, [N/A], 130.72, 400.00, 1410, 1593, 37, P0, 100"
1780465676379146417,2026/06/03 05:47:56.398,122.71,122.71,,122.71,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:56.398, 122.71, [N/A], 122.71, 400.00, 1410, 1593, 37, P0, 100"
1780465676507584741,2026/06/03 05:47:56.527,129.98,129.98,,129.98,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:56.527, 129.98, [N/A], 129.98, 400.00, 1410, 1593, 37, P0, 100"
1780465676636385570,2026/06/03 05:47:56.656,130.59,130.59,,130.59,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:56.656, 130.59, [N/A], 130.59, 400.00, 1410, 1593, 37, P0, 100"
1780465676767179514,2026/06/03 05:47:56.786,105.81,105.81,,105.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:56.786, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 37, P0, 100"
1780465676895801504,2026/06/03 05:47:56.915,130.59,130.59,,130.59,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:56.915, 130.59, [N/A], 130.59, 400.00, 1410, 1593, 37, P0, 100"
1780465677024707808,2026/06/03 05:47:57.043,130.59,130.59,,130.59,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:57.043, 130.59, [N/A], 130.59, 400.00, 1410, 1593, 37, P0, 100"
1780465677152238411,2026/06/03 05:47:57.171,126.75,126.75,,126.75,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:57.171, 126.75, [N/A], 126.75, 400.00, 1410, 1593, 37, P0, 100"
1780465677280111371,2026/06/03 05:47:57.299,130.59,130.59,,130.59,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:57.299, 130.59, [N/A], 130.59, 400.00, 1410, 1593, 37, P0, 100"
1780465677409350153,2026/06/03 05:47:57.429,130.39,130.39,,130.39,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:57.429, 130.39, [N/A], 130.39, 400.00, 1410, 1593, 37, P0, 100"
1780465677538888549,2026/06/03 05:47:57.558,116.25,116.25,,116.25,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:57.558, 116.25, [N/A], 116.25, 400.00, 1410, 1593, 37, P0, 100"
1780465677669445689,2026/06/03 05:47:57.688,131.33,131.33,,131.33,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:57.688, 131.33, [N/A], 131.33, 400.00, 1410, 1593, 37, P0, 100"
1780465677798400894,2026/06/03 05:47:57.818,129.98,129.98,,129.98,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:57.818, 129.98, [N/A], 129.98, 400.00, 1410, 1593, 37, P0, 100"
1780465677926880282,2026/06/03 05:47:57.946,121.17,121.17,,121.17,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:47:57.946, 121.17, [N/A], 121.17, 400.00, 1410, 1593, 37, P0, 100"
