sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780465558789861060,2026/06/03 05:45:58.810,83.31,83.31,,83.31,400.0,1410.0,1593.0,34.0,P0,0.0,average_instant,"2026/06/03 05:45:58.810, 83.31, [N/A], 83.31, 400.00, 1410, 1593, 34, P0, 0"
1780465558922098515,2026/06/03 05:45:58.955,83.04,83.04,,83.04,400.0,1410.0,1593.0,34.0,P0,0.0,average_instant,"2026/06/03 05:45:58.955, 83.04, [N/A], 83.04, 400.00, 1410, 1593, 34, P0, 0"
1780465559070940846,2026/06/03 05:45:59.091,86.74,86.74,,86.74,400.0,1410.0,1593.0,34.0,P0,0.0,average_instant,"2026/06/03 05:45:59.091, 86.74, [N/A], 86.74, 400.00, 1410, 1593, 34, P0, 0"
1780465559201645556,2026/06/03 05:45:59.221,163.15,163.15,,163.15,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:45:59.221, 163.15, [N/A], 163.15, 400.00, 1410, 1593, 36, P0, 0"
1780465559330839609,2026/06/03 05:45:59.350,160.55,160.55,,160.55,400.0,1410.0,1593.0,37.0,P0,92.0,average_instant,"2026/06/03 05:45:59.350, 160.55, [N/A], 160.55, 400.00, 1410, 1593, 37, P0, 92"
1780465559459930871,2026/06/03 05:45:59.479,139.2,139.2,,139.2,400.0,1410.0,1593.0,37.0,P0,92.0,average_instant,"2026/06/03 05:45:59.479, 139.20, [N/A], 139.20, 400.00, 1410, 1593, 37, P0, 92"
1780465559589269826,2026/06/03 05:45:59.608,163.49,163.49,,163.49,400.0,1410.0,1593.0,37.0,P0,92.0,average_instant,"2026/06/03 05:45:59.608, 163.49, [N/A], 163.49, 400.00, 1410, 1593, 37, P0, 92"
1780465559717504562,2026/06/03 05:45:59.737,155.65,155.65,,155.65,400.0,1410.0,1593.0,37.0,P0,92.0,average_instant,"2026/06/03 05:45:59.737, 155.65, [N/A], 155.65, 400.00, 1410, 1593, 37, P0, 92"
1780465559847951438,2026/06/03 05:45:59.867,146.26,146.26,,146.26,400.0,1410.0,1593.0,37.0,P0,92.0,average_instant,"2026/06/03 05:45:59.867, 146.26, [N/A], 146.26, 400.00, 1410, 1593, 37, P0, 92"
1780465559977793495,2026/06/03 05:45:59.997,162.88,162.88,,162.88,400.0,1410.0,1593.0,37.0,P0,92.0,average_instant,"2026/06/03 05:45:59.997, 162.88, [N/A], 162.88, 400.00, 1410, 1593, 37, P0, 92"
1780465560106719191,2026/06/03 05:46:00.126,144.72,144.72,,144.72,400.0,1410.0,1593.0,37.0,P0,92.0,average_instant,"2026/06/03 05:46:00.126, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 37, P0, 92"
1780465560238098390,2026/06/03 05:46:00.257,158.85,158.85,,158.85,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:46:00.257, 158.85, [N/A], 158.85, 400.00, 1410, 1593, 37, P0, 100"
1780465560366567245,2026/06/03 05:46:00.386,164.42,164.42,,164.42,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:46:00.386, 164.42, [N/A], 164.42, 400.00, 1410, 1593, 37, P0, 100"
