sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780459337752436759,2026/06/03 04:02:17.772,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:02:17.772, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780459337884298523,2026/06/03 04:02:17.910,85.8,85.8,,85.8,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:02:17.910, 85.80, [N/A], 85.80, 400.00, 1410, 1593, 36, P0, 0"
1780459338021167211,2026/06/03 04:02:18.040,88.57,88.57,,88.57,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:02:18.040, 88.57, [N/A], 88.57, 400.00, 1410, 1593, 36, P0, 0"
1780459338150459310,2026/06/03 04:02:18.170,143.17,143.17,,143.17,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 04:02:18.170, 143.17, [N/A], 143.17, 400.00, 1410, 1593, 38, P0, 0"
1780459338280274139,2026/06/03 04:02:18.301,144.12,144.12,,144.12,400.0,1410.0,1593.0,38.0,P0,75.0,average_instant,"2026/06/03 04:02:18.301, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 38, P0, 75"
1780459338409726581,2026/06/03 04:02:18.428,145.05,145.05,,145.05,400.0,1410.0,1593.0,39.0,P0,75.0,average_instant,"2026/06/03 04:02:18.428, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 39, P0, 75"
1780459338537344709,2026/06/03 04:02:18.556,143.5,143.5,,143.5,400.0,1410.0,1593.0,38.0,P0,75.0,average_instant,"2026/06/03 04:02:18.556, 143.50, [N/A], 143.50, 400.00, 1410, 1593, 38, P0, 75"
1780459338665349325,2026/06/03 04:02:18.684,140.89,140.89,,140.89,400.0,1410.0,1593.0,38.0,P0,75.0,average_instant,"2026/06/03 04:02:18.684, 140.89, [N/A], 140.89, 400.00, 1410, 1593, 38, P0, 75"
1780459338792392470,2026/06/03 04:02:18.812,143.5,143.5,,143.5,400.0,1410.0,1593.0,39.0,P0,75.0,average_instant,"2026/06/03 04:02:18.812, 143.50, [N/A], 143.50, 400.00, 1410, 1593, 39, P0, 75"
1780459338922630156,2026/06/03 04:02:18.942,145.05,145.05,,145.05,400.0,1410.0,1593.0,39.0,P0,75.0,average_instant,"2026/06/03 04:02:18.942, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 39, P0, 75"
1780459339050786328,2026/06/03 04:02:19.070,139.34,139.34,,139.34,400.0,1410.0,1593.0,39.0,P0,75.0,average_instant,"2026/06/03 04:02:19.070, 139.34, [N/A], 139.34, 400.00, 1410, 1593, 39, P0, 75"
1780459339180415895,2026/06/03 04:02:19.203,115.97,115.97,,115.97,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:02:19.203, 115.97, [N/A], 115.97, 400.00, 1410, 1593, 38, P0, 100"
1780459339312392825,2026/06/03 04:02:19.332,143.17,143.17,,143.17,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:02:19.332, 143.17, [N/A], 143.17, 400.00, 1410, 1593, 39, P0, 100"
1780459339443162956,2026/06/03 04:02:19.463,144.12,144.12,,144.12,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:02:19.463, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 39, P0, 100"
1780459339573094994,2026/06/03 04:02:19.592,144.72,144.72,,144.72,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:02:19.592, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 39, P0, 100"
1780459339706033050,2026/06/03 04:02:19.725,131.94,131.94,,131.94,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:02:19.725, 131.94, [N/A], 131.94, 400.00, 1410, 1593, 38, P0, 100"
1780459339834898647,2026/06/03 04:02:19.855,107.02,107.02,,107.02,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:02:19.855, 107.02, [N/A], 107.02, 400.00, 1410, 1593, 39, P0, 100"
1780459339966332339,2026/06/03 04:02:19.985,144.44,144.44,,144.44,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:02:19.985, 144.44, [N/A], 144.44, 400.00, 1410, 1593, 39, P0, 100"
1780459340095108079,2026/06/03 04:02:20.114,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:02:20.114, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 100"
1780459340225670834,2026/06/03 04:02:20.245,144.44,144.44,,144.44,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:02:20.245, 144.44, [N/A], 144.44, 400.00, 1410, 1593, 39, P0, 100"
1780459340354347999,2026/06/03 04:02:20.373,130.59,130.59,,130.59,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:02:20.373, 130.59, [N/A], 130.59, 400.00, 1410, 1593, 38, P0, 100"
1780459340482732042,2026/06/03 04:02:20.502,143.92,143.92,,143.92,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:02:20.502, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 39, P0, 100"
