sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780456484471877399,2026/06/03 03:14:44.493,84.59,84.59,,84.59,400.0,1410.0,1593.0,34.0,P0,6.0,average_instant,"2026/06/03 03:14:44.493, 84.59, [N/A], 84.59, 400.00, 1410, 1593, 34, P0, 6"
1780456484605053715,2026/06/03 03:14:44.632,84.59,84.59,,84.59,400.0,1410.0,1593.0,33.0,P0,6.0,average_instant,"2026/06/03 03:14:44.632, 84.59, [N/A], 84.59, 400.00, 1410, 1593, 33, P0, 6"
1780456484742356662,2026/06/03 03:14:44.763,88.29,88.29,,88.29,400.0,1410.0,1593.0,33.0,P0,6.0,average_instant,"2026/06/03 03:14:44.763, 88.29, [N/A], 88.29, 400.00, 1410, 1593, 33, P0, 6"
1780456484872808676,2026/06/03 03:14:44.892,185.62,185.62,,185.62,400.0,1410.0,1593.0,36.0,P0,6.0,average_instant,"2026/06/03 03:14:44.892, 185.62, [N/A], 185.62, 400.00, 1410, 1593, 36, P0, 6"
1780456485001450890,2026/06/03 03:14:45.020,190.53,190.53,,190.53,400.0,1410.0,1593.0,37.0,P0,83.0,average_instant,"2026/06/03 03:14:45.020, 190.53, [N/A], 190.53, 400.00, 1410, 1593, 37, P0, 83"
1780456485129650839,2026/06/03 03:14:45.149,165.64,165.64,,165.64,400.0,1410.0,1593.0,37.0,P0,83.0,average_instant,"2026/06/03 03:14:45.149, 165.64, [N/A], 165.64, 400.00, 1410, 1593, 37, P0, 83"
1780456485259442273,2026/06/03 03:14:45.279,188.04,188.04,,188.04,400.0,1410.0,1593.0,38.0,P0,83.0,average_instant,"2026/06/03 03:14:45.279, 188.04, [N/A], 188.04, 400.00, 1410, 1593, 38, P0, 83"
1780456485388038923,2026/06/03 03:14:45.407,174.53,174.53,,174.53,400.0,1410.0,1593.0,38.0,P0,83.0,average_instant,"2026/06/03 03:14:45.407, 174.53, [N/A], 174.53, 400.00, 1410, 1593, 38, P0, 83"
1780456485516970874,2026/06/03 03:14:45.536,189.92,189.92,,189.92,400.0,1410.0,1593.0,38.0,P0,83.0,average_instant,"2026/06/03 03:14:45.536, 189.92, [N/A], 189.92, 400.00, 1410, 1593, 38, P0, 83"
1780456485645625582,2026/06/03 03:14:45.665,189.92,189.92,,189.92,400.0,1410.0,1593.0,38.0,P0,83.0,average_instant,"2026/06/03 03:14:45.665, 189.92, [N/A], 189.92, 400.00, 1410, 1593, 38, P0, 83"
