sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780456499883447519,2026/06/03 03:14:59.903,85.47,85.47,,85.47,400.0,1410.0,1593.0,35.0,P0,6.0,average_instant,"2026/06/03 03:14:59.903, 85.47, [N/A], 85.47, 400.00, 1410, 1593, 35, P0, 6"
1780456500015317285,2026/06/03 03:15:00.038,85.39,85.39,,85.39,400.0,1410.0,1593.0,35.0,P0,6.0,average_instant,"2026/06/03 03:15:00.038, 85.39, [N/A], 85.39, 400.00, 1410, 1593, 35, P0, 6"
1780456500157363727,2026/06/03 03:15:00.177,87.02,87.02,,87.02,400.0,1410.0,1593.0,35.0,P0,6.0,average_instant,"2026/06/03 03:15:00.177, 87.02, [N/A], 87.02, 400.00, 1410, 1593, 35, P0, 6"
1780456500288933194,2026/06/03 03:15:00.311,179.16,179.16,,179.16,400.0,1410.0,1593.0,38.0,P0,6.0,average_instant,"2026/06/03 03:15:00.311, 179.16, [N/A], 179.16, 400.00, 1410, 1593, 38, P0, 6"
1780456500421875393,2026/06/03 03:15:00.441,180.7,180.7,,180.7,400.0,1410.0,1593.0,38.0,P0,19.0,average_instant,"2026/06/03 03:15:00.441, 180.70, [N/A], 180.70, 400.00, 1410, 1593, 38, P0, 19"
1780456500551380445,2026/06/03 03:15:00.571,172.55,172.55,,172.55,400.0,1410.0,1593.0,39.0,P0,19.0,average_instant,"2026/06/03 03:15:00.571, 172.55, [N/A], 172.55, 400.00, 1410, 1593, 39, P0, 19"
1780456500682882152,2026/06/03 03:15:00.703,187.77,187.77,,187.77,400.0,1410.0,1593.0,39.0,P0,19.0,average_instant,"2026/06/03 03:15:00.703, 187.77, [N/A], 187.77, 400.00, 1410, 1593, 39, P0, 19"
1780456500812375847,2026/06/03 03:15:00.832,192.35,192.35,,192.35,400.0,1410.0,1593.0,39.0,P0,19.0,average_instant,"2026/06/03 03:15:00.832, 192.35, [N/A], 192.35, 400.00, 1410, 1593, 39, P0, 19"
1780456500942083016,2026/06/03 03:15:00.961,169.61,169.61,,169.61,400.0,1410.0,1593.0,39.0,P0,19.0,average_instant,"2026/06/03 03:15:00.961, 169.61, [N/A], 169.61, 400.00, 1410, 1593, 39, P0, 19"
1780456501071767870,2026/06/03 03:15:01.094,192.68,192.68,,192.68,400.0,1410.0,1593.0,40.0,P0,19.0,average_instant,"2026/06/03 03:15:01.094, 192.68, [N/A], 192.68, 400.00, 1410, 1593, 40, P0, 19"
