sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780456272587321476,2026/06/03 03:11:12.607,83.65,83.65,,83.65,400.0,1410.0,1593.0,35.0,P0,6.0,average_instant,"2026/06/03 03:11:12.607, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 35, P0, 6"
1780456272718820259,2026/06/03 03:11:12.742,88.89,88.89,,88.89,400.0,1410.0,1593.0,35.0,P0,6.0,average_instant,"2026/06/03 03:11:12.742, 88.89, [N/A], 88.89, 400.00, 1410, 1593, 35, P0, 6"
1780456272857506599,2026/06/03 03:11:12.877,86.13,86.13,,86.13,400.0,1410.0,1593.0,35.0,P0,6.0,average_instant,"2026/06/03 03:11:12.877, 86.13, [N/A], 86.13, 400.00, 1410, 1593, 35, P0, 6"
1780456272987613820,2026/06/03 03:11:13.007,182.52,182.52,,182.52,400.0,1410.0,1593.0,37.0,P0,6.0,average_instant,"2026/06/03 03:11:13.007, 182.52, [N/A], 182.52, 400.00, 1410, 1593, 37, P0, 6"
1780456273116666411,2026/06/03 03:11:13.136,156.7,156.7,,156.7,400.0,1410.0,1593.0,38.0,P0,76.0,average_instant,"2026/06/03 03:11:13.136, 156.70, [N/A], 156.70, 400.00, 1410, 1593, 38, P0, 76"
1780456273247091613,2026/06/03 03:11:13.267,185.01,185.01,,185.01,400.0,1410.0,1593.0,39.0,P0,76.0,average_instant,"2026/06/03 03:11:13.267, 185.01, [N/A], 185.01, 400.00, 1410, 1593, 39, P0, 76"
1780456273375948321,2026/06/03 03:11:13.395,172.7,172.7,,172.7,400.0,1410.0,1593.0,39.0,P0,76.0,average_instant,"2026/06/03 03:11:13.395, 172.70, [N/A], 172.70, 400.00, 1410, 1593, 39, P0, 76"
1780456273504429329,2026/06/03 03:11:13.523,184.35,184.35,,184.35,400.0,1410.0,1593.0,39.0,P0,76.0,average_instant,"2026/06/03 03:11:13.523, 184.35, [N/A], 184.35, 400.00, 1410, 1593, 39, P0, 76"
1780456273631792412,2026/06/03 03:11:13.651,178.83,178.83,,178.83,400.0,1410.0,1593.0,39.0,P0,76.0,average_instant,"2026/06/03 03:11:13.651, 178.83, [N/A], 178.83, 400.00, 1410, 1593, 39, P0, 76"
1780456273763833489,2026/06/03 03:11:13.786,185.28,185.28,,185.28,400.0,1410.0,1593.0,39.0,P0,76.0,average_instant,"2026/06/03 03:11:13.786, 185.28, [N/A], 185.28, 400.00, 1410, 1593, 39, P0, 76"
