sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780456332083758135,2026/06/03 03:12:12.103,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,5.0,average_instant,"2026/06/03 03:12:12.103, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 5"
1780456332215810076,2026/06/03 03:12:12.239,86.13,86.13,,86.13,400.0,1410.0,1593.0,36.0,P0,5.0,average_instant,"2026/06/03 03:12:12.239, 86.13, [N/A], 86.13, 400.00, 1410, 1593, 36, P0, 5"
1780456332359305225,2026/06/03 03:12:12.379,87.35,87.35,,87.35,400.0,1410.0,1593.0,36.0,P0,5.0,average_instant,"2026/06/03 03:12:12.379, 87.35, [N/A], 87.35, 400.00, 1410, 1593, 36, P0, 5"
1780456332491645786,2026/06/03 03:12:12.511,180.23,180.23,,180.23,400.0,1410.0,1593.0,39.0,P0,5.0,average_instant,"2026/06/03 03:12:12.511, 180.23, [N/A], 180.23, 400.00, 1410, 1593, 39, P0, 5"
1780456332619818025,2026/06/03 03:12:12.640,185.28,185.28,,185.28,400.0,1410.0,1593.0,39.0,P0,92.0,average_instant,"2026/06/03 03:12:12.640, 185.28, [N/A], 185.28, 400.00, 1410, 1593, 39, P0, 92"
1780456332750160734,2026/06/03 03:12:12.770,160.73,160.73,,160.73,400.0,1410.0,1593.0,40.0,P0,92.0,average_instant,"2026/06/03 03:12:12.770, 160.73, [N/A], 160.73, 400.00, 1410, 1593, 40, P0, 92"
1780456332880357547,2026/06/03 03:12:12.900,185.89,185.89,,185.89,400.0,1410.0,1593.0,40.0,P0,92.0,average_instant,"2026/06/03 03:12:12.900, 185.89, [N/A], 185.89, 400.00, 1410, 1593, 40, P0, 92"
1780456333010870978,2026/06/03 03:12:13.030,169.51,169.51,,169.51,400.0,1410.0,1593.0,40.0,P0,92.0,average_instant,"2026/06/03 03:12:13.030, 169.51, [N/A], 169.51, 400.00, 1410, 1593, 40, P0, 92"
1780456333139892401,2026/06/03 03:12:13.159,184.35,184.35,,184.35,400.0,1410.0,1593.0,40.0,P0,92.0,average_instant,"2026/06/03 03:12:13.159, 184.35, [N/A], 184.35, 400.00, 1410, 1593, 40, P0, 92"
1780456333268147557,2026/06/03 03:12:13.290,185.89,185.89,,185.89,400.0,1410.0,1593.0,40.0,P0,92.0,average_instant,"2026/06/03 03:12:13.290, 185.89, [N/A], 185.89, 400.00, 1410, 1593, 40, P0, 92"
