condition,pair_index,repeat_index,gpu,fp16_path,test_kernel,baseline_kernel,blocks,threads,iters,unroll,elapsed_s,baseline_elapsed_s,fp16_ops,memory_bytes,memory_bits,matmul_input_bits,matmul_accumulator_read_bits,matmul_output_bits,matmul_arithmetic_read_bits,matmul_register_read_write_bits,tflops,memory_gbps,test_avg_power_w,baseline_avg_power_w,test_energy_j,baseline_energy_j,baseline_scaled_energy_j,incremental_power_w,incremental_energy_j,pj_per_flop,w_per_tflops,incremental_pj_per_bit,total_pj_per_bit,matmul_input_pj_per_bit,matmul_arithmetic_read_pj_per_bit,matmul_register_read_write_pj_per_bit,test_power_samples,baseline_power_samples,avg_sm_clock_mhz,clock_span_mhz,max_temp_c,valid_basic,test_run_id,baseline_run_id,test_power_csv,baseline_power_csv
matmul_tensor_mma_f16acc_vs_nop,0,0,NVIDIA GeForce RTX 3090,tensor_core_mma_f16acc,tensor_mma_f16acc,baseline_nop,656,256,1000000,8,1.08150476074,0.5494241333009999,171966464000000.0,0.0,0.0,257949696000000.0,85983232000000.0,85983232000000.0,343932928000000.0,429916160000000.0,159.00666390255657,nan,235.34405814743337,113.5190969457127,264.33796365587796,64.92703215237347,122.77144378169388,121.82496120172067,141.56651987418408,0.8232216711403921,0.766162613639754,nan,nan,0.5488144474269281,0.41161083557019607,0.32928866845615684,7,3,1950.0,0.0,59.0,True,matmul_tensor_mma_f16acc_vs_nop_rep000_test_87b8aa37,matmul_tensor_mma_f16acc_vs_nop_rep000_baseline_065e2f5b,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep000_test_87b8aa37/power.csv,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep000_baseline_065e2f5b/power.csv
matmul_tensor_mma_f16acc_vs_nop,1,1,NVIDIA GeForce RTX 3090,tensor_core_mma_f16acc,tensor_mma_f16acc,baseline_nop,656,256,1000000,8,1.08167370605,0.5602282714839999,171966464000000.0,0.0,0.0,257949696000000.0,85983232000000.0,85983232000000.0,343932928000000.0,429916160000000.0,158.98182884372613,nan,238.76222203651668,218.456255202841,266.86963194984406,126.53829236654876,236.29838717506158,20.305966833675683,30.571244774782485,0.17777445708706602,0.12772508016394613,nan,nan,0.11851630472471068,0.08888722854353301,0.07110978283482641,8,4,1950.0,0.0,62.0,True,matmul_tensor_mma_f16acc_vs_nop_rep001_test_b31a6135,matmul_tensor_mma_f16acc_vs_nop_rep001_baseline_d561703b,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep001_test_b31a6135/power.csv,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep001_baseline_d561703b/power.csv
matmul_tensor_mma_f16acc_vs_nop,2,2,NVIDIA GeForce RTX 3090,tensor_core_mma_f16acc,tensor_mma_f16acc,baseline_nop,656,256,1000000,8,1.0897376709,0.5438187866209999,171966464000000.0,0.0,0.0,257949696000000.0,85983232000000.0,85983232000000.0,343932928000000.0,429916160000000.0,157.80537701149228,nan,239.46080038204798,214.3979003192691,271.84886979064953,121.84047585436718,233.63746853977065,25.06290006277888,38.21140125087888,0.22220263394424902,0.15882158477371563,nan,nan,0.14813508929616603,0.11110131697212451,0.08888105357769961,8,4,1935.0,0.0,64.0,True,matmul_tensor_mma_f16acc_vs_nop_rep002_test_e14bfc7c,matmul_tensor_mma_f16acc_vs_nop_rep002_baseline_2a23b806,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep002_test_e14bfc7c/power.csv,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep002_baseline_2a23b806/power.csv
matmul_tensor_mma_f16acc_vs_nop,3,3,NVIDIA GeForce RTX 3090,tensor_core_mma_f16acc,tensor_mma_f16acc,baseline_nop,656,256,1000000,8,1.09237121582,0.541571044922,171966464000000.0,0.0,0.0,257949696000000.0,85983232000000.0,85983232000000.0,343932928000000.0,429916160000000.0,157.4249316620006,nan,240.7967769580099,212.35647554728416,272.8810129263586,119.39701810374977,231.9721013808369,28.440301410725738,40.908911545521704,0.23788889178719,0.18065944898606354,nan,nan,0.15859259452479332,0.118944445893595,0.09515555671487601,13,4,1935.0,0.0,65.0,True,matmul_tensor_mma_f16acc_vs_nop_rep003_test_e4c49258,matmul_tensor_mma_f16acc_vs_nop_rep003_baseline_7522249d,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep003_test_e4c49258/power.csv,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep003_baseline_7522249d/power.csv
matmul_tensor_mma_f16acc_vs_nop,4,4,NVIDIA GeForce RTX 3090,tensor_core_mma_f16acc,tensor_mma_f16acc,baseline_nop,656,256,1000000,8,1.09421362305,0.5416939086910001,171966464000000.0,0.0,0.0,257949696000000.0,85983232000000.0,85983232000000.0,343932928000000.0,429916160000000.0,157.15986383048534,nan,242.58509820817835,214.6640069730346,275.5960465936994,120.7599319900712,234.88828080839463,27.921091235143763,40.70776578530476,0.23671921163247714,0.17766044430567726,nan,nan,0.15781280775498474,0.11835960581623857,0.09468768465299085,8,4,1935.0,0.0,67.0,True,matmul_tensor_mma_f16acc_vs_nop_rep004_test_fc2265fe,matmul_tensor_mma_f16acc_vs_nop_rep004_baseline_215ae2e2,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep004_test_fc2265fe/power.csv,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep004_baseline_215ae2e2/power.csv
matmul_tensor_mma_f32acc_vs_nop,0,0,NVIDIA GeForce RTX 3090,tensor_core_mma_f32acc,tensor_mma_f32acc,baseline_nop,656,256,1000000,8,2.12455322266,0.56335333252,171966464000000.0,0.0,0.0,257949696000000.0,171966464000000.0,171966464000000.0,429916160000000.0,601882624000000.0,80.94241281689013,nan,208.0532014791965,219.34268971195235,456.83766666001895,128.4141219788193,466.00521829444074,-11.289488232755843,-9.167551634421784,-0.05331011303704997,-0.13947555848495888,nan,nan,-0.03554007535803331,-0.021324045214819988,-0.015231460867728563,15,4,1950.0,0.0,59.0,False,matmul_tensor_mma_f32acc_vs_nop_rep000_test_4993fde6,matmul_tensor_mma_f32acc_vs_nop_rep000_baseline_873d8e00,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep000_test_4993fde6/power.csv,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep000_baseline_873d8e00/power.csv
matmul_tensor_mma_f32acc_vs_nop,1,1,NVIDIA GeForce RTX 3090,tensor_core_mma_f32acc,tensor_mma_f32acc,baseline_nop,656,256,1000000,8,2.124984375,0.5546719970699999,171966464000000.0,0.0,0.0,257949696000000.0,171966464000000.0,171966464000000.0,429916160000000.0,601882624000000.0,80.92598986757257,nan,210.0684689888645,231.48205105273905,466.1042522848709,132.76955006465445,491.8957415800228,-21.413582063874543,-25.791489295151905,-0.14997976172349456,-0.2646069834785557,nan,nan,-0.09998650781566304,-0.05999190468939783,-0.042851360492427014,16,4,1950.0,0.0,61.0,False,matmul_tensor_mma_f32acc_vs_nop_rep001_test_52f76154,matmul_tensor_mma_f32acc_vs_nop_rep001_baseline_3fa18f08,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep001_test_52f76154/power.csv,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep001_baseline_3fa18f08/power.csv
matmul_tensor_mma_f32acc_vs_nop,2,2,NVIDIA GeForce RTX 3090,tensor_core_mma_f32acc,tensor_mma_f32acc,baseline_nop,656,256,1000000,8,2.22013012695,0.547352172852,171966464000000.0,0.0,0.0,257949696000000.0,171966464000000.0,171966464000000.0,429916160000000.0,601882624000000.0,77.45783092284162,nan,210.25935502040187,234.08250230113677,484.2874559109781,133.5792808277022,519.6936155505964,-23.8231472807349,-35.406159639618295,-0.20588990909075328,-0.3075627989694928,nan,nan,-0.13725993939383552,-0.08235596363630131,-0.05882568831164379,16,4,1935.0,0.0,63.0,False,matmul_tensor_mma_f32acc_vs_nop_rep002_test_0288382f,matmul_tensor_mma_f32acc_vs_nop_rep002_baseline_1463c163,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep002_test_0288382f/power.csv,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep002_baseline_1463c163/power.csv
matmul_tensor_mma_f32acc_vs_nop,3,3,NVIDIA GeForce RTX 3090,tensor_core_mma_f32acc,tensor_mma_f32acc,baseline_nop,656,256,1000000,8,2.13385083008,0.5533550415040001,171966464000000.0,0.0,0.0,257949696000000.0,171966464000000.0,171966464000000.0,429916160000000.0,601882624000000.0,80.58973081710347,nan,212.2313980180319,229.41278594210672,463.30959887011187,130.76707213023712,489.5326637135298,-17.181387924074812,-26.223064843417944,-0.15248941121111814,-0.21319574776924835,nan,nan,-0.10165960747407876,-0.060995764484447254,-0.04356840320317661,15,4,1935.0,0.0,64.0,False,matmul_tensor_mma_f32acc_vs_nop_rep003_test_43a348d0,matmul_tensor_mma_f32acc_vs_nop_rep003_baseline_86ec213b,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep003_test_43a348d0/power.csv,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep003_baseline_86ec213b/power.csv
matmul_tensor_mma_f32acc_vs_nop,4,4,NVIDIA GeForce RTX 3090,tensor_core_mma_f32acc,tensor_mma_f32acc,baseline_nop,656,256,1000000,8,2.13421777344,0.556814331055,171966464000000.0,0.0,0.0,257949696000000.0,171966464000000.0,171966464000000.0,429916160000000.0,601882624000000.0,80.57587474909788,nan,213.3520201146021,226.75625020949164,476.11001937168356,131.11030740931542,483.9472194357048,-13.404230094889527,-7.8372000640212605,-0.04557400252191764,-0.16635537791713023,nan,nan,-0.030382668347945098,-0.01822960100876706,-0.013021143577690757,16,4,1935.0,0.0,65.0,False,matmul_tensor_mma_f32acc_vs_nop_rep004_test_2b8e7e7b,matmul_tensor_mma_f32acc_vs_nop_rep004_baseline_fe266904,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep004_test_2b8e7e7b/power.csv,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep004_baseline_fe266904/power.csv
