scope,condition,repeat_index,gpu,architecture_generation,architecture_chip,test_kernel,baseline_kernel,threads,threads_per_sm,measurement_grade,baseline_match_grade,quality_pass,target_pass,positive_increment,no_intended_l2,pure_fp16_candidate,energy_source_reliable,baseline_structural_match,ncu_validation_pass,ncu_required,test_ncu_note,baseline_ncu_note,clock_stable,sm_util_available,common_hmma_path,tflops,avg_sm_util_pct,matmul_input_pj_per_bit,incremental_power_w,clock_span_mhz,test_energy_source,baseline_energy_source,test_power_samples,baseline_power_samples,fail_reasons,warnings,run_count,required_valid_count,valid_no_l2_count,pure_fp16_candidate_count,selected_optimal,util_saturated,avg_sm_util_pct_mean,avg_gpu_util_pct_mean,tflops_mean,matmul_input_pj_per_bit_mean,matmul_input_pj_per_bit_ci95,incremental_power_w_mean,clock_span_mhz_mean,stats_scope,test_energy_source_counts,baseline_energy_source_counts
pair,thread_sweep_tensor_mma_f16acc_t032,0,NVIDIA GeForce RTX 3090,ampere,ga102,tensor_mma_f16acc,baseline_nop,32,256.0,power_trace_fallback,generic_nop_baseline,False,False,True,True,True,True,False,False,False,missing NCU validation row,missing NCU validation row,True,True,True,162.63828482036178,100.0,0.5646225566139558,82.98324055473077,0.0,power_trace_integral,power_trace_integral,20,10,rerun with tensor_baseline_u32; baseline_nop is only a weak loop baseline for Tensor Core separation,NVML energy counter was unavailable; using power trace fallback,,,,,,,,,,,,,,,,
pair,thread_sweep_tensor_mma_f16acc_t032,1,NVIDIA GeForce RTX 3090,ampere,ga102,tensor_mma_f16acc,baseline_nop,32,256.0,power_trace_fallback,generic_nop_baseline,False,False,True,True,True,True,False,False,False,missing NCU validation row,missing NCU validation row,True,True,True,158.3550153551832,99.66666666666667,0.2070200986840532,23.436881965448094,0.0,power_trace_integral,power_trace_integral,21,12,rerun with tensor_baseline_u32; baseline_nop is only a weak loop baseline for Tensor Core separation,NVML energy counter was unavailable; using power trace fallback,,,,,,,,,,,,,,,,
pair,thread_sweep_tensor_mma_f16acc_t032,2,NVIDIA GeForce RTX 3090,ampere,ga102,tensor_mma_f16acc,baseline_nop,32,256.0,power_trace_fallback,generic_nop_baseline,False,False,False,False,False,True,False,False,False,missing NCU validation row,missing NCU validation row,True,True,True,159.6884784883771,99.66666666666667,-0.36546085254816285,-67.77172753509086,0.0,power_trace_integral,power_trace_integral,21,13,nonpositive incremental power/energy; expected or invalid L2/global traffic; not a pure FP16 candidate; rerun with tensor_baseline_u32; baseline_nop is only a weak loop baseline for Tensor Core separation,NVML energy counter was unavailable; using power trace fallback,,,,,,,,,,,,,,,,
pair,thread_sweep_tensor_mma_f16acc_t032,3,NVIDIA GeForce RTX 3090,ampere,ga102,tensor_mma_f16acc,baseline_nop,32,256.0,power_trace_fallback,generic_nop_baseline,False,False,True,True,True,True,False,False,False,missing NCU validation row,missing NCU validation row,True,True,True,159.69648697349626,99.66666666666667,0.22630708501062968,24.139011241588804,0.0,power_trace_integral,power_trace_integral,21,12,rerun with tensor_baseline_u32; baseline_nop is only a weak loop baseline for Tensor Core separation,NVML energy counter was unavailable; using power trace fallback,,,,,,,,,,,,,,,,
pair,thread_sweep_tensor_mma_f16acc_t032,4,NVIDIA GeForce RTX 3090,ampere,ga102,tensor_mma_f16acc,baseline_nop,32,256.0,power_trace_fallback,generic_nop_baseline,False,False,True,True,True,True,False,False,False,missing NCU validation row,missing NCU validation row,True,True,True,159.68258487273823,99.66666666666667,0.22985542884385268,27.0958432441073,0.0,power_trace_integral,power_trace_integral,21,11,rerun with tensor_baseline_u32; baseline_nop is only a weak loop baseline for Tensor Core separation,NVML energy counter was unavailable; using power trace fallback,,,,,,,,,,,,,,,,
pair,thread_sweep_tensor_mma_f16acc_t032,5,NVIDIA GeForce RTX 3090,ampere,ga102,tensor_mma_f16acc,baseline_nop,32,256.0,power_trace_fallback,generic_nop_baseline,False,False,False,False,False,True,False,False,False,missing NCU validation row,missing NCU validation row,True,True,True,159.57293007008454,99.66666666666667,-0.4917189405705206,21.20071210750538,0.0,power_trace_integral,power_trace_integral,17,12,nonpositive incremental power/energy; expected or invalid L2/global traffic; not a pure FP16 candidate; rerun with tensor_baseline_u32; baseline_nop is only a weak loop baseline for Tensor Core separation,NVML energy counter was unavailable; using power trace fallback,,,,,,,,,,,,,,,,
pair,thread_sweep_tensor_mma_f16acc_t032,6,NVIDIA GeForce RTX 3090,ampere,ga102,tensor_mma_f16acc,baseline_nop,32,256.0,power_trace_fallback,generic_nop_baseline,False,False,True,True,True,True,False,False,False,missing NCU validation row,missing NCU validation row,True,True,True,157.7215722028497,99.66666666666667,0.218125875362695,24.797883325623445,0.0,power_trace_integral,power_trace_integral,21,11,rerun with tensor_baseline_u32; baseline_nop is only a weak loop baseline for Tensor Core separation,NVML energy counter was unavailable; using power trace fallback,,,,,,,,,,,,,,,,
pair,thread_sweep_tensor_mma_f16acc_t032,7,NVIDIA GeForce RTX 3090,ampere,ga102,tensor_mma_f16acc,baseline_nop,32,256.0,power_trace_fallback,generic_nop_baseline,False,False,True,True,True,True,False,False,False,missing NCU validation row,missing NCU validation row,True,True,True,157.98146350096496,100.0,0.20166933363057513,22.19412957718103,0.0,power_trace_integral,power_trace_integral,21,12,rerun with tensor_baseline_u32; baseline_nop is only a weak loop baseline for Tensor Core separation,NVML energy counter was unavailable; using power trace fallback,,,,,,,,,,,,,,,,
pair,thread_sweep_tensor_mma_f16acc_t032,8,NVIDIA GeForce RTX 3090,ampere,ga102,tensor_mma_f16acc,baseline_nop,32,256.0,power_trace_fallback,generic_nop_baseline,False,False,False,False,False,True,False,False,False,missing NCU validation row,missing NCU validation row,True,True,True,157.7579566588425,99.66666666666667,-0.4740910868635342,24.596235117449396,0.0,power_trace_integral,power_trace_integral,14,12,nonpositive incremental power/energy; expected or invalid L2/global traffic; not a pure FP16 candidate; rerun with tensor_baseline_u32; baseline_nop is only a weak loop baseline for Tensor Core separation,NVML energy counter was unavailable; using power trace fallback,,,,,,,,,,,,,,,,
pair,thread_sweep_tensor_mma_f16acc_t032,9,NVIDIA GeForce RTX 3090,ampere,ga102,tensor_mma_f16acc,baseline_nop,32,256.0,power_trace_fallback,generic_nop_baseline,False,False,True,True,True,True,False,False,False,missing NCU validation row,missing NCU validation row,True,True,True,158.51770716993084,100.0,0.19014553502874712,20.504338206801833,0.0,power_trace_integral,power_trace_integral,20,12,rerun with tensor_baseline_u32; baseline_nop is only a weak loop baseline for Tensor Core separation,NVML energy counter was unavailable; using power trace fallback,,,,,,,,,,,,,,,,
