condition,role,kernel,threads,iters,unroll,target_elapsed_s,observed_elapsed_s,measured_repeats,elapsed_per_repeat_s,old_repeats,new_repeats,action,note
launch_shape_tensor_mma_f16acc_t032_b01,baseline,tensor_baseline_mov,32,1000000,8,1.0,0.039035678863500005,1,0.039035678863500005,2,26,updated,probe
launch_shape_tensor_mma_f16acc_t032_b01,test,tensor_mma_f16acc,32,1000000,8,1.0,0.141215744019,1,0.141215744019,2,8,updated,probe
launch_shape_tensor_mma_f16acc_t032_b02,baseline,tensor_baseline_mov,32,1000000,8,1.0,0.032460510253899996,1,0.032460510253899996,2,31,updated,probe
launch_shape_tensor_mma_f16acc_t032_b02,test,tensor_mma_f16acc,32,1000000,8,1.0,0.138111907959,1,0.138111907959,2,8,updated,probe
launch_shape_tensor_mma_f16acc_t032_b04,baseline,tensor_baseline_mov,32,1000000,8,1.0,0.0316158409119,1,0.0316158409119,2,32,updated,probe
launch_shape_tensor_mma_f16acc_t032_b04,test,tensor_mma_f16acc,32,1000000,8,1.0,0.137893890381,1,0.137893890381,2,8,updated,probe
launch_shape_tensor_mma_f16acc_t032_b08,baseline,tensor_baseline_mov,32,1000000,8,1.0,0.0334723510742,1,0.0334723510742,2,30,updated,probe
launch_shape_tensor_mma_f16acc_t032_b08,test,tensor_mma_f16acc,32,1000000,8,1.0,0.26774188232400004,1,0.26774188232400004,2,4,updated,probe
launch_shape_tensor_mma_f16acc_t064_b01,baseline,tensor_baseline_mov,64,1000000,8,1.0,0.0318054409027,1,0.0318054409027,2,32,updated,probe
launch_shape_tensor_mma_f16acc_t064_b01,test,tensor_mma_f16acc,64,1000000,8,1.0,0.137800704956,1,0.137800704956,2,8,updated,probe
launch_shape_tensor_mma_f16acc_t064_b02,baseline,tensor_baseline_mov,64,1000000,8,1.0,0.0318238716125,1,0.0318238716125,2,32,updated,probe
launch_shape_tensor_mma_f16acc_t064_b02,test,tensor_mma_f16acc,64,1000000,8,1.0,0.138254333496,1,0.138254333496,2,8,updated,probe
launch_shape_tensor_mma_f16acc_t064_b04,baseline,tensor_baseline_mov,64,1000000,8,1.0,0.033350528717000005,1,0.033350528717000005,2,30,updated,probe
launch_shape_tensor_mma_f16acc_t064_b04,test,tensor_mma_f16acc,64,1000000,8,1.0,0.266412872314,1,0.266412872314,2,4,updated,probe
launch_shape_tensor_mma_f16acc_t064_b08,baseline,tensor_baseline_mov,64,1000000,8,1.0,0.0349460487366,1,0.0349460487366,2,29,updated,probe
launch_shape_tensor_mma_f16acc_t064_b08,test,tensor_mma_f16acc,64,1000000,8,1.0,0.533126953125,1,0.533126953125,2,2,unchanged,probe
launch_shape_tensor_mma_f16acc_t128_b01,baseline,tensor_baseline_mov,128,1000000,8,1.0,0.0318126087189,1,0.0318126087189,2,32,updated,probe
launch_shape_tensor_mma_f16acc_t128_b01,test,tensor_mma_f16acc,128,1000000,8,1.0,0.138320831299,1,0.138320831299,2,8,updated,probe
launch_shape_tensor_mma_f16acc_t128_b02,baseline,tensor_baseline_mov,128,1000000,8,1.0,0.0345507850647,1,0.0345507850647,2,29,updated,probe
launch_shape_tensor_mma_f16acc_t128_b02,test,tensor_mma_f16acc,128,1000000,8,1.0,0.26639154052700004,1,0.26639154052700004,2,4,updated,probe
launch_shape_tensor_mma_f16acc_t128_b04,baseline,tensor_baseline_mov,128,1000000,8,1.0,0.0348764152527,1,0.0348764152527,2,29,updated,probe
launch_shape_tensor_mma_f16acc_t128_b04,test,tensor_mma_f16acc,128,1000000,8,1.0,0.533406738281,1,0.533406738281,2,2,unchanged,probe
launch_shape_tensor_mma_f16acc_t128_b08,baseline,tensor_baseline_mov,128,1000000,8,1.0,0.06306291198729999,1,0.06306291198729999,2,16,updated,probe
launch_shape_tensor_mma_f16acc_t128_b08,test,tensor_mma_f16acc,128,1000000,8,1.0,1.0728222656200002,1,1.0728222656200002,2,2,unchanged,probe
launch_shape_tensor_mma_f16acc_t256_b01,baseline,tensor_baseline_mov,256,1000000,8,1.0,0.0337149429321,1,0.0337149429321,2,30,updated,probe
launch_shape_tensor_mma_f16acc_t256_b01,test,tensor_mma_f16acc,256,1000000,8,1.0,0.26763973999,1,0.26763973999,2,4,updated,probe
launch_shape_tensor_mma_f16acc_t256_b02,baseline,tensor_baseline_mov,256,1000000,8,1.0,0.033702911377,1,0.033702911377,2,30,updated,probe
launch_shape_tensor_mma_f16acc_t256_b02,test,tensor_mma_f16acc,256,1000000,8,1.0,0.5346744384769999,1,0.5346744384769999,2,2,unchanged,probe
launch_shape_tensor_mma_f16acc_t256_b04,baseline,tensor_baseline_mov,256,1000000,8,1.0,0.0594001922607,1,0.0594001922607,2,17,updated,probe
launch_shape_tensor_mma_f16acc_t256_b04,test,tensor_mma_f16acc,256,1000000,8,1.0,1.0681661377,1,1.0681661377,2,2,unchanged,probe
launch_shape_tensor_mma_f16acc_t256_b08,baseline,tensor_baseline_mov,256,1000000,8,1.0,0.103936637878,1,0.103936637878,2,10,updated,probe
launch_shape_tensor_mma_f16acc_t256_b08,test,tensor_mma_f16acc,256,1000000,8,1.0,2.14004101562,1,2.14004101562,2,2,unchanged,probe
